feature,gain
num__건물연령(계약기준),0.20990105
num__동_고등학교수,0.10278354
num__전용면적(㎡),0.07221419
num__동_초등학교수,0.07215359
cat__읍면동_용흥동,0.04959398
cat__읍면동_환호동,0.04880575
cat__읍면동_흥해읍 이인리,0.045679256
cat__읍면동_동빈1가,0.040432602
num__최대공원면적(㎡),0.0368006
num__총공원면적(㎡),0.035471465
cat__읍면동_득량동,0.032550935
remainder__바다여부,0.026352081
cat__읍면동_창포동,0.022375556
num__동_중학교수,0.021975841
num__공원수,0.017871713
cat__읍면동_두호동,0.017531399
cat__읍면동_흥해읍 남성리,0.015969418
cat__읍면동_죽도동,0.014063989
cat__읍면동_항구동,0.013890735
remainder__동_초중고모두있음여부,0.013082784
cat__읍면동_학산동,0.010107814
cat__읍면동_흥해읍 대련리,0.009930731
cat__읍면동_학잠동,0.009291129
num__층,0.008635953
cat__읍면동_흥해읍 학천리,0.0077919546
cat__읍면동_양덕동,0.0074130776
cat__읍면동_흥해읍 초곡리,0.006919559
num__계약월,0.0059992573
cat__읍면동_장성동,0.0051101753
num__계약연도,0.0050570546
cat__읍면동_여천동,0.004036952
cat__읍면동_흥해읍 마산리,0.0039526834
cat__읍면동_흥해읍 옥성리,0.0022070142
cat__읍면동_우현동,0.0021713937
cat__읍면동_흥해읍 약성리,0.0010896105
cat__읍면동_청하면 월포리,0.00078518956
cat__읍면동_대신동,0.0
cat__읍면동_흥해읍 중성리,0.0
remainder__공원여부,0.0
